manufacturer,spec,usecase,speed,ramtiming,model,xmp,color,rgb,image_url
마이크론,DDR5,데스크탑용,5600,CL46,CRUCIAL PRO 아스크텍,True,,False,https://img.danawa.com/prod_img/500000/738/386/img/33386738_1.jpg?shrink=130:130&_v=20240124113754
OLOY,DDR5,데스크탑용,6400,CL32,BLADE,True,WHITE,True,https://img.danawa.com/prod_img/500000/474/368/img/33368474_1.jpg?shrink=130:130&_v=20240213095814
OLOY,DDR5,데스크탑용,6400,CL32,BLADE,True,BLACK,True,https://img.danawa.com/prod_img/500000/420/368/img/33368420_1.jpg?shrink=130:130&_v=20240213095750
OLOY,DDR5,데스크탑용,6000,CL32,BLADE,True,WHITE,True,https://img.danawa.com/prod_img/500000/330/368/img/33368330_1.jpg?shrink=130:130&_v=20240213095706
OLOY,DDR5,데스크탑용,6000,CL32,BLADE,True,BLACK,True,https://img.danawa.com/prod_img/500000/099/368/img/33368099_1.jpg?shrink=130:130&_v=20240213095538
OLOY,DDR5,데스크탑용,6000,CL32,LIGHTING,True,,False,https://img.danawa.com/prod_img/500000/760/494/img/32494760_1.jpg?shrink=130:130&_v=20240219142314
ESSENCORE,DDR5,데스크탑용,6400,CL32,KLEVV CRAS V 서린,True,WHITE,True,https://img.danawa.com/prod_img/500000/993/075/img/32075993_1.jpg?shrink=130:130&_v=20240110103303
ESSENCORE,DDR5,데스크탑용,6000,CL30,KLEVV CRAS V 서린,True,WHITE,True,https://img.danawa.com/prod_img/500000/077/076/img/32076077_1.jpg?shrink=130:130&_v=20240110103541
TEAMGROUP,DDR5,데스크탑용,8000,CL38,T-FORCE XTREEM 서린,True,,False,https://img.danawa.com/prod_img/500000/326/076/img/32076326_1.jpg?shrink=130:130&_v=20240110104620
TEAMGROUP,DDR5,데스크탑용,8000,CL38,T-FORCE DELTA 서린,True,WHITE,True,https://img.danawa.com/prod_img/500000/191/076/img/32076191_1.jpg?shrink=130:130&_v=20240112111928
PATRIOT,DDR5,데스크탑용,4800,CL40,SIGNATURE,False,,False,https://img.danawa.com/prod_img/500000/928/041/img/32041928_1.jpg?shrink=130:130&_v=20240108153137
타무즈,DDR5,데스크탑용,5600,CL46,,False,,False,https://img.danawa.com/prod_img/500000/278/998/img/31998278_1.jpg?shrink=130:130&_v=20240105125555
V-COLOR,DDR5,데스크탑용,5200,CL42,STANDARD 벌크,False,BLACK,False,https://img.danawa.com/prod_img/500000/203/998/img/31998203_1.jpg?shrink=130:130&_v=20240105144714
TEAMGROUP,DDR5,데스크탑용,6800,CL36,T-FORCE DELTA,True,WHITE,True,https://img.danawa.com/prod_img/500000/837/424/img/31424837_1.jpg?shrink=130:130&_v=20231222101124
TEAMGROUP,DDR5,데스크탑용,6800,CL36,T-FORCE DELTA,True,,True,https://img.danawa.com/prod_img/500000/810/424/img/31424810_1.jpg?shrink=130:130&_v=20231222101255
TEAMGROUP,DDR5,데스크탑용,6800,CL36,T-CREATE EXPERT,True,WHITE,False,https://img.danawa.com/prod_img/500000/654/424/img/31424654_1.jpg?shrink=130:130&_v=20231226174951
TEAMGROUP,DDR5,데스크탑용,6800,CL36,T-CREATE EXPERT,True,,False,https://img.danawa.com/prod_img/500000/558/424/img/31424558_1.jpg?shrink=130:130&_v=20231226174947
TEAMGROUP,DDR5,데스크탑용,6000,CL48,ELITE 서린,False,,False,https://img.danawa.com/prod_img/500000/087/424/img/31424087_1.jpg?shrink=130:130&_v=20231222170725
PATRIOT,DDR5,데스크탑용,6600,CL36,VIPER ELITE 5,True,,True,https://img.danawa.com/prod_img/500000/317/612/img/30612317_1.jpg?shrink=130:130&_v=20231213095920
PATRIOT,DDR5,데스크탑용,7000,CL38,VIPER ELITE 5,True,,True,https://img.danawa.com/prod_img/500000/216/500/img/30500216_1.jpg?shrink=130:130&_v=20231213095920
삼성전자,DDR5,데스크탑용,5600,,,False,,False,https://img.danawa.com/prod_img/500000/780/911/img/18911780_1.jpg?shrink=130:130&_v=20230202143725
마이크론,DDR5,데스크탑용,5600,CL46,CRUCIAL PRO 대원씨티에스,True,,False,https://img.danawa.com/prod_img/500000/066/369/img/20369066_1.jpg?shrink=130:130&_v=20231201123820
삼성전자,DDR4,데스크탑용,3200,,,False,,False,https://img.danawa.com/prod_img/500000/199/790/img/11790199_1.jpg?shrink=130:130&_v=20220829160120
TEAMGROUP,DDR5,데스크탑용,5600,CL46,ELITE 서린,False,,False,https://img.danawa.com/prod_img/500000/839/535/img/17535839_1.jpg?shrink=130:130&_v=20220726132209
G.SKILL,DDR5,데스크탑용,6000,CL36,TRIDENT Z5 NEO J,False,,True,https://img.danawa.com/prod_img/500000/893/931/img/17931893_1.jpg?shrink=130:130&_v=20231205134832
ESSENCORE,DDR5,데스크탑용,6000,CL30,KLEVV CRAS V 서린,True,,True,https://img.danawa.com/prod_img/500000/268/886/img/27886268_1.jpg?shrink=130:130&_v=20231116125218
ESSENCORE,DDR4,데스크탑용,3200,CL22,KLEVV,False,,False,https://img.danawa.com/prod_img/500000/091/787/img/11787091_1.jpg?shrink=130:130&_v=20210809140708
G.SKILL,DDR5,데스크탑용,5600,CL36,AEGIS 5,True,,False,https://img.danawa.com/prod_img/500000/219/241/img/28241219_1.jpg?shrink=130:130&_v=20231113182337
